Unnamed: 0,Unnamed: 0.1,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,Unnamed: 61,Unnamed: 60,BRANDED_CODE_SHARE,SCH_OP_CARRIER_FL_NUM,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,DUP,Unnamed: 63,MKT_CARRIER,Unnamed: 64,Departure_Hour
63935,63935,2021,1,18,1,2021-01-18,DL,19790,4652,9E,20363.0,N8891A,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1803.0,-5.0,0.0,0.0,-1.0,1800-1859,9.0,1812.0,1933.0,15.0,2005,1948.0,-17.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,105.0,81.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63936,63936,2021,1,19,2,2021-01-19,DL,19790,4652,9E,20363.0,N800AY,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1803.0,-5.0,0.0,0.0,-1.0,1800-1859,7.0,1810.0,1936.0,14.0,2005,1950.0,-15.0,0.0,0.0,-1.0,2000-2059,0.0,0,0.0,117.0,107.0,86.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63937,63937,2021,1,20,3,2021-01-20,DL,19790,4652,9E,20363.0,N833AY,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1802.0,-6.0,0.0,0.0,-1.0,1800-1859,19.0,1821.0,1958.0,11.0,2005,2009.0,4.0,4.0,0.0,0.0,2000-2059,0.0,0,0.0,117.0,127.0,97.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63938,63938,2021,1,21,4,2021-01-21,DL,19790,4652,9E,20363.0,N800AY,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1803.0,-5.0,0.0,0.0,-1.0,1800-1859,8.0,1811.0,1935.0,8.0,2005,1943.0,-22.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,100.0,84.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63939,63939,2021,1,22,5,2021-01-22,DL,19790,4652,9E,20363.0,N8918B,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1758.0,-10.0,0.0,0.0,-1.0,1800-1859,11.0,1809.0,1924.0,10.0,2005,1934.0,-31.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,96.0,75.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63940,63940,2021,1,24,7,2021-01-24,DL,19790,4652,9E,20363.0,N686BR,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1803.0,-5.0,0.0,0.0,-1.0,1800-1859,9.0,1812.0,1943.0,11.0,2005,1954.0,-11.0,0.0,0.0,-1.0,2000-2059,0.0,0,0.0,117.0,111.0,91.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63941,63941,2021,1,25,1,2021-01-25,DL,19790,4652,9E,20363.0,N8847A,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1804.0,-4.0,0.0,0.0,-1.0,1800-1859,9.0,1813.0,1934.0,14.0,2005,1948.0,-17.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,104.0,81.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63942,63942,2021,1,26,2,2021-01-26,DL,19790,4652,9E,20363.0,N8969A,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1808.0,0.0,0.0,0.0,0.0,1800-1859,59.0,1907.0,2030.0,10.0,2005,2040.0,35.0,35.0,1.0,2.0,2000-2059,0.0,0,0.0,117.0,152.0,83.0,1.0,425.0,2,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63943,63943,2021,1,27,3,2021-01-27,DL,19790,4652,9E,20363.0,N8877A,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1803.0,-5.0,0.0,0.0,-1.0,1800-1859,8.0,1811.0,1928.0,18.0,2005,1946.0,-19.0,0.0,0.0,-2.0,2000-2059,0.0,0,0.0,117.0,103.0,77.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
63944,63944,2021,1,28,4,2021-01-28,DL,19790,4652,9E,20363.0,N8970D,4652,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1808,1803.0,-5.0,0.0,0.0,-1.0,1800-1859,15.0,1818.0,1933.0,28.0,2005,2001.0,-4.0,0.0,0.0,-1.0,2000-2059,0.0,0,0.0,117.0,118.0,75.0,1.0,425.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,18
